id,word_en,word_fr,example_en
1,the,"le, la, les","The cat is sleeping on the sofa."
2,of,de,"This is a map of the world."
3,and,et,"I like tea and coffee."
4,to,"à, vers","She went to the market."
5,a,"un, une","I saw a dog in the street."
6,in,"dans, en","He lives in Paris."
7,that,"que, ce","I know that you are right."
8,I,je,"I am very happy today."
9,was,"était, fut","She was tired after work."
10,he,il,"He opened the window slowly."
11,his,"son, sa","He lost his keys again."
12,with,avec,"She came with her brother."
13,is,est,"The sky is blue today."
14,it,"il, elle, ce","It is raining outside."
15,for,pour,"This gift is for you."
16,as,"comme, en tant que","He worked as a teacher."
17,had,"avait, avait eu","She had a great idea."
18,you,"tu, vous","You are very kind."
19,not,"ne pas","I do not understand this word."
20,be,"être","To be or not to be."
21,on,sur,"The book is on the table."
22,at,"à, chez","She arrived at midnight."
23,by,"par, près de","The letter was written by him."
24,her,"elle, son, sa","I gave her a flower."
25,which,"lequel, qui","This is the book which I read."
26,have,avoir,"I have two brothers."
27,or,ou,"Would you like tea or coffee?"
28,from,"de, depuis","He comes from London."
29,this,"ce, ceci","This house is very old."
30,but,mais,"I tried but I failed."
31,all,"tout, tous","All the students passed the exam."
32,him,lui,"She called him yesterday."
33,she,elle,"She smiled and walked away."
34,were,"étaient","They were very happy."
35,they,"ils, elles","They arrived late."
36,my,"mon, ma","My dog is very playful."
37,are,"sont, êtes","You are my best friend."
38,so,"donc, si","It was so beautiful outside."
39,me,"me, moi","Can you help me please?"
40,their,"leur, leurs","They forgot their bags."
41,an,"un, une","She ate an apple for breakfast."
42,one,"un, une","One day I will travel the world."
43,we,nous,"We are going to the park."
44,who,qui,"Who is knocking at the door?"
45,would,"serait, voudrait","He would like some water."
46,said,"dit, a dit","She said nothing and left."
47,been,"été","He has been very busy lately."
48,no,"non, pas de","There is no milk left."
49,will,"vouloir, futur","She will come tomorrow."
50,them,"les, leur","I gave them the message."
51,when,quand,"When did you arrive?"
52,if,si,"If it rains, we stay inside."
53,there,"là, il y a","There is a cat on the roof."
54,more,plus,"I need more time to finish."
55,out,"dehors, sorti","He went out for a walk."
56,any,"tout, n'importe quel","Do you have any questions?"
57,up,"en haut, vers le haut","She looked up at the stars."
58,into,"dans, à l'intérieur de","He walked into the room."
59,your,"ton, votre","Your smile is beautiful."
60,has,a,"She has a lovely garden."
61,do,faire,"What do you want to eat?"
62,what,"quoi, que","What time is it?"
63,could,"pourrait, pouvait","He could not sleep last night."
64,our,"notre, nos","This is our new house."
65,than,"que, plus que","She is taller than her sister."
66,other,autre,"I prefer the other option."
67,some,"quelque, certains","Would you like some bread?"
68,very,"très","It was very cold that morning."
69,man,homme,"An old man sat by the river."
70,upon,"sur, dessus","She placed the crown upon his head."
71,about,"à propos de, environ","Tell me about your trip."
72,its,"son, sa","The cat licked its paw."
73,only,seulement,"She is the only one who knows."
74,time,"temps, heure","Time passes very quickly."
75,may,"pouvoir, mai","You may leave the room now."
76,like,"aimer, comme","I like walking in the rain."
77,little,"petit, peu","A little bird sat on the branch."
78,then,"alors, ensuite","He thought for a moment, then spoke."
79,now,maintenant,"Now is the right time to act."
80,should,devrait,"You should rest more often."
81,can,pouvoir,"Can you open the window please?"
82,made,"fait, fabriqué","She made a delicious cake."
83,did,"fit, a fait","Did you see the match last night?"
